Location Name,Latitude,Longitude,City,Hazard,Arc,Pincho,Susie,MLB
Kush,25.79591483,-80.19475149,Miami,1,0,0,0,0
Goulds,25.56659042,-80.36799412,Goulds,1,0,0,0,0
Crunch,25.57189353,-80.37246513,Cutler Bay,1,0,0,0,0
Frontage,25.56797578,-80.3640142,Goulds,1,1,0,0,1
Post Box,25.47687637,-80.46804563,Homestead,1,0,0,0,0
Parkway Ave,25.47698703,-80.47015461,Homestead,1,1,1,0,0
28410 FL-5,25.50231736,-80.44367646,Homestead,1,1,1,1,0
Moody Dr,25.5195136,-80.39780472,Homestead,1,0,0,0,0
Lowes,25.47726223,-80.45105635,Homestead,1,0,0,0,0
Sedanos,25.47737496,-80.46596367,Homestead,1,0,0,0,1
Harris Field,25.47705565,-80.46549678,Homestead,1,0,0,0,0
N Flagler Ave,25.47812742,-80.46793374,Homestead,1,0,0,1,0
KeyesCompany,25.47730018,-80.46821916,Homestead,1,0,0,0,0
KeyesCompany2,25.47731065,-80.46784282,Homestead,1,0,0,0,0
548SE6 Ave,25.46380692,-80.46892767,Homestead,1,1,0,0,0
RaceTrac,25.56647988,-80.37243627,Goulds,1,0,1,0,0
Liberty Tax,25.57175219,-80.37560815,Miami,0,0,1,0,0
22821 US1,25.55493521,-80.39250268,Goulds,1,1,0,0,1
Gables Motorsports,25.73297294,-80.31353193,Miami,1,0,0,0,0
Office Center,25.57132071,-80.37380789,Quail Heights,1,1,0,0,0
,,,,,,,,
,,,,,,,,
